group7136-2, hypothetical protein
group11744, hypothetical protein
group11745, Tyrosine recombinase XerC
group14518, flavoprotein WrbA
group14519, hypothetical protein
group11740, hypothetical protein
group11741, TfuA-like core domain-containing protein
group11742, hypothetical protein
group11743, hypothetical protein
group19173, hypothetical protein
group19172, magnesium and cobalt transport protein CorA
group19171, hypothetical protein
group19170, phospholipase D/Transphosphatidylase
group19177, hypothetical protein
group19176, hypothetical protein
group19175, hypothetical protein
group19174, Alcohol dehydrogenase GroES domain protein
group19179, hypothetical protein
group19178, hypothetical protein
group1029, transcriptional regulator%2C LysR family
group1028, hypothetical protein
group1021, hypothetical protein
group1020, hypothetical protein
group1023, transcriptional regulator%2C AraC family
group1022, short-chain dehydrogenase/reductase SDR
group1025, Glyoxalase/bleomycin resistance protein/dioxygenase
group1024, transcriptional regulator%2C TetR family
group1027, class II aldolase/adducin family protein
group1026, hypothetical protein
group508, diguanylate cyclase/phosphodiesterase
group509, photosystem reaction center subunit H
group506, DNA mismatch repair protein MutL
group507, putative PAS/PAC sensor protein
group504, periplasmic binding protein/LacI transcriptional regulator
group505, hypothetical protein
group502, ABC transporter permease
group503, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group500, tetraacyldisaccharide 4'-kinase
group501, transcriptional regulator%2C GntR family
group16914, Malate/L-lactate dehydrogenase
group16915, ROK family protein
group10531-2, hypothetical protein
group16917, hypothetical protein
group16910, hypothetical protein
group16911, hypothetical protein
group16912, hypothetical protein
group16913, hypothetical protein
group16918, hypothetical protein
group16919, hypothetical protein
group6036, hypothetical protein
group17355, membrane protein
group17354, hypothetical protein
group17357, hypothetical protein
group17356, hypothetical protein
group17351, hypothetical protein
group17350, hypothetical protein
group17353, transcription regulator of the Arc/MetJ class
group17352, hypothetical protein
group17359, Group II intron-encoded protein LtrA
group17358, hypothetical protein
group20573, hypothetical protein
group20572, adenylate/guanylate cyclase
group20571, hypothetical protein
group20570, cell envelope biogenesis protein OmpA
group20577, hypothetical protein
group20576, chromosome segregation protein SMC
group20575, hypothetical protein
group20574, hypothetical protein
group20579, hypothetical protein
group20578, hypothetical protein
group5756, conjugal transfer protein TraC
group12327, hydrolase
group12326, tail fiber protein
group12325, hypothetical protein
group12324, hypothetical protein
group12323, hypothetical protein
group12322, Modification methylase DpnIIA
group12321, hypothetical protein
group12320, hypothetical protein
group5755, Conjugal transfer TraD family protein
group12329, hypothetical protein
group12328, hypothetical protein
group5723-7, transcriptional regulator%2C LysR family
group9379, hypothetical protein
group9378, hypothetical protein
group9371, hypothetical protein
group9370, transposase
group5754, Ti-type conjugative transfer system protein TraG
group9372, thymidylate kinase
group9375, hypothetical protein
group9374, hypothetical protein
group9377, hypothetical protein
group9376, hypothetical protein
group6349, lipoprotein%2C YaeC family
group6348, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6341, Glyoxalase/bleomycin resistance protein/dioxygenase
group6340, allophanate hydrolase
group6343, oxidoreductase domain protein
group6342, oxidoreductase domain protein
group6345, methylmalonyl-CoA mutase
group6344, hypothetical protein
group6347, binding-protein-dependent transport systems inner membrane component
group6346, putative monooxygenase protein
group16008, hypothetical protein
group16009, hypothetical protein
group16002, cation diffusion facilitator family transporter
group16003, Copper-sensing transcriptional repressor CsoR
group16000, hypothetical protein
group16001, hypothetical protein
group16006, hypothetical protein
group16007, hypothetical protein
group16004, membrane protein
group16005, cytochrome C
group13632, Saccharopine dehydrogenase
group13633, TetM/TetO subfamily tetracycline resistance protein
group13630, hypothetical protein
group13631, hypothetical protein
group13636, methyl-accepting chemotaxis sensory transducer
group13637, methyl-accepting chemotaxis sensory transducer
group13634, hypothetical protein
group13635, hypothetical protein
group13638, hypothetical protein
group13639, heavy metal translocating P-type ATPase
group12583, transposase
group12582, Group II intron-encoded protein LtrA
group12581, transposase
group12580, hypothetical protein
group12587, hypothetical protein
group12586, hypothetical protein
group12585, integrase family protein
group12584, transposase
group12589, serine recombinase
group12588, transposase IS21
group15674, hypothetical protein
group15675, hypothetical protein
group15676, filamentation induced by cAMP protein Fic
group15677, alpha/beta hydrolase
group15670, hypothetical protein
group15671, hypothetical protein
group15672, hypothetical protein
group15673, hypothetical protein
group15678, hypothetical protein
group15679, hypothetical protein
group13984, hypothetical protein
group13985, hypothetical protein
group5750, ArdC antirestriction protein
group13987, hypothetical protein
group13980, transcriptional regulator%2C AraC family
group13981, hypothetical protein
group13982, arylsulfatase
group13983, hypothetical protein
group13988, hypothetical protein
group13989, endonuclease
group15588, hypothetical protein
group15589, hypothetical protein
group15586, hypothetical protein
group15587, short-chain dehydrogenase/reductase SDR
group15584, hypothetical protein
group15585, hypothetical protein
group15582, hypothetical protein
group15583, hypothetical protein
group15580, hypothetical protein
group15581, hypothetical protein
group10575-6, hypothetical protein
group14985, ornithine decarboxylase
group14984, biotin carboxylase
group14987, hypothetical protein
group14986, ornithine decarboxylase
group14981, peptide ABC transporter substrate-binding protein
group14980, ABC transporter permease
group14983, hypothetical protein
group14982, hypothetical protein
group14989, glutamate dehydrogenase
group14988, hypothetical protein
group5651, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group8556-3, hypothetical protein
group416-2, transporter
group5657, K+-transporting ATPase%2C B subunit
group19520, hypothetical protein
group19521, hypothetical protein
group16662, 2%2C5-didehydrogluconate reductase
group6727-2, thiamine biosynthesis protein thio
group8533-2, methyl-accepting chemotaxis sensory transducer
group4099, Phosphoribosylanthranilate isomerase
group4098, tryptophan synthase%2C beta subunit
group4093, double-strand break repair helicase AddA
group4092, double-strand break repair protein AddB
group4091, Nucleotidyl transferase
group4090, hypothetical protein
group4097, tryptophan synthase%2C alpha subunit
group4096, acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit
group4095, folylpolyglutamate synthase
group4094, thioredoxin
group2121-4, Integrase catalytic region
group2121-6, Integrase catalytic region
group2121-3, Integrase catalytic region
group2121-2, Integrase catalytic region
group19771, hypothetical protein
group19770, hypothetical protein
group19773, hypothetical protein
group19772, hypothetical protein
group19775, hypothetical protein
group19774, glycosyl transferase
group19777, ErfK/YbiS/YcfS/YnhG family protein
group19776, hypothetical protein
group19779, transposase
group19778, hypothetical protein
group5118, alpha/beta hydrolase fold protein
group2938, efflux transporter%2C RND family%2C MFP subunit
group2939, adenylate/guanylate cyclase
group2936, flagellin domain protein
group2937, acriflavin resistance protein
group2934, hypothetical protein
group2935, OmpA/MotB domain protein
group2932, membrane protein AbrB duplication
group2933, transcriptional regulator%2C AraC family
group2930, aldo/keto reductase
group2931, transcriptional regulator%2C LysR family
group9293-2, transposase ISPsy20
group5050, hypothetical protein
group5051, hypothetical protein
group5052, hypothetical protein
group5053, GAF sensor hybrid histidine kinase
group5054, response regulator receiver sensor hybrid histidine kinase
group5055, recombinase
group5056, putative transcriptional regulator%2C CopG/Arc/MetJ family
group5057, 1%2C4-alpha-glucan branching protein
group5058, 4-alpha-glucanotransferase
group5059, hypothetical protein
group629, hypothetical protein
group628, Redoxin domain protein
group627, hypothetical protein
group626, CsbD family protein
group625, hypothetical protein
group624, ribonuclease H
group623, homoserine kinase
group622, hydroxymethylbutenyl pyrophosphate reductase
group621, cytochrome oxidase
group620, hypothetical protein
group20371, Peroxidase
group20370, hypothetical protein
group20373, hypothetical protein
group20372, hypothetical protein
group20375, hypothetical protein
group20374, hypothetical protein
group20377, hypothetical protein
group20376, hypothetical protein
group20379, hypothetical protein
group20378, hypothetical protein
group195, UDP-glucose 4-epimerase
group194, putative cellulose synthase protein
group197, transcriptional regulator%2C AraC family
group196, NAD-dependent epimerase/dehydratase
group191, 2-deoxycytidine 5-triphosphate deaminase
group190, O-succinylhomoserine sulfhydrylase
group193, putative cellulase H precursor protein
